,,,,,,,,,,,,,,,,
Status,Submittal ID,Subject,From Company,Expected,Received,Days Late Received,Due Date,Days Late Responding,Responded,Final Response,Last Action Action,Prepared On,Closed,Days +/-,row height,Days +/- responding
,05 75 00-034-01,05 75 00-034-01 M11 Shop Drawings,Mortenson Construction,,4/9/2021,,4/23/2021,,4/26/2021,Approved as Noted/Resubmit,Approved as Noted/Resubmit,10/11/2021,4/26/2021,31640,R,-11
,05 75 00-035-00,"05 75 00-035-00 P39/P24, ST21, SST1 Samples",Mortenson Construction,,1/6/2021,,1/20/2021,,1/15/2021,Approved as Noted,Approved as Noted,10/11/2021,1/15/2021,31573,R,-11
,05 75 00-036-00,05 75 00-036-00 Airstream Shop Drawings,Mortenson Construction,,3/10/2021,,3/24/2021,,3/17/2021,Approved as Noted,Approved as Noted,10/11/2021,3/17/2021,31618,R,-11
,05 75 00-037-00,05 75 00-037-00 M1 / M8 Samples,Mortenson Construction,,4/5/2021,,4/19/2021,,4/22/2021,Approved as Noted,Approved as Noted,10/11/2021,4/22/2021,31636,R,-11
,05 75 00-038-00,05 75 00-038-00 South Concourse Metal Cladding,Mortenson Construction,,4/9/2021,,4/23/2021,,4/20/2021,Approved,Approved,10/11/2021,4/20/2021,31640,R,-11
,05 75 00-039-00,05 75 00-039-00 M15 - CCD Update,Mortenson Construction,,4/12/2021,,4/26/2021,,4/26/2021,Approved,Approved,10/11/2021,4/26/2021,31641,R,-11
,05 75 00-040-00,05 75 00-040-00 Main Con Storage Lid Orn. Metals,Mortenson Construction,,4/23/2021,,5/7/2021,,5/10/2021,Approved,Approved,10/11/2021,5/10/2021,31650,R,-11
,05 75 00-041-00,05 75 00-041-00 Curtain Track Cladding,Mortenson Construction,,5/18/2021,,6/2/2021,,6/4/2021,Approved as Noted,Approved as Noted,10/11/2021,6/4/2021,31667,R,-12
,05 75 00-042-00,05 75 00-042-00 Space Needle Shelving,Mortenson Construction,,5/18/2021,,6/2/2021,,6/4/2021,Approved as Noted,Approved as Noted,10/11/2021,6/4/2021,31667,R,-12
,05 75 00-045-00,05 75 00-045-00 NHL Locker Speaker Covers Orn Metals,Mortenson Construction,,7/19/2021,,8/2/2021,,7/21/2021,Approved as Noted,Approved as Noted,10/11/2021,7/21/2021,31711,R,-11
,05 75 00-046-00,05 75 00-046-00 Tunnel Club Corridor Metal Panels,Mortenson Construction,,6/24/2021,,7/9/2021,,7/8/2021,Approved as Noted/Resubmit,Approved as Noted/Resubmit,10/11/2021,7/8/2021,31694,R,-12
,05 75 00-047-00,05 75 00-047-00 Perf Panels for Main Con / Upper Just Walk Out,Mortenson Construction,,6/28/2021,,7/13/2021,,7/8/2021,Revise and Resubmit,Revise and Resubmit,10/11/2021,7/8/2021,31696,R,-12
,05 75 00-048-00,05 75 00-048-00 Main Con Club Column Drink Rails and Footrails,Mortenson Construction,,6/18/2021,,7/2/2021,,6/21/2021,Approved as Noted,Approved as Noted,10/11/2021,6/21/2021,31690,R,-11
,05 75 00-049-00,05 75 00-049-00 Craft Beer Roofing Material,Mortenson Construction,,7/6/2021,,7/20/2021,,7/12/2021,Rejected,Rejected,10/11/2021,7/12/2021,31702,R,-11
,05 75 00-049-01,05 75 00-049-01 Craft Beer Roofing Material,Mortenson Construction,,7/28/2021,,8/11/2021,,7/29/2021,Approved as Noted,Approved as Noted,10/11/2021,7/29/2021,31718,R,-11
,05 75 00-050-00,05 75 00-050-00 NHL Locker and Hydrotherapy Soffit Trim,Mortenson Construction,,7/27/2021,,8/10/2021,,7/29/2021,Approved as Noted,Approved as Noted,10/11/2021,7/29/2021,31717,R,-11
,05 75 00-051-00,05 75 00-051-00 Decorative Metal LEED Information,Mortenson Construction,,8/25/2021,,9/8/2021,,8/30/2021,Approved,Approved,10/11/2021,8/30/2021,31738,R,-11
,05 75 00-052-00,05 75 00-052-00 JWO Samples,Mortenson Construction,,8/27/2021,,9/10/2021,,8/26/2021,Approved,Approved,10/11/2021,8/26/2021,31740,R,-11
,05 75 00-053-00,05 75 00-053-00 Craft Beer Roofing Sample,Mortenson Construction,,8/27/2021,,9/10/2021,,8/30/2021,Approved,Approved,10/11/2021,8/30/2021,31740,R,-11
,05 75 00-054-00,05 75 00-054-00 Decorative Metal Sample Warranty,Mortenson Construction,,8/30/2021,,9/13/2021,,9/10/2021,Approved as Noted,Approved as Noted,10/11/2021,9/10/2021,31741,R,-11
,06 10 53-009-00,06 10 53-009-00 Exterior Roof Blocking Product Data,Mortenson Construction,,6/10/2021,,6/24/2021,,6/23/2021,Approved as Noted,Approved as Noted,10/11/2021,6/23/2021,31684,R,-11
,06 16 00-002-00,06 16 00-002-00 SHEATHING - Product Data - Glass-Mat Gypsum Wall Sheathing & Fasteners,Mortenson Construction,,4/23/2020,,5/7/2020,,5/4/2020,Approved,Approved,10/11/2021,5/4/2020,31389,R,-11
,06 16 00-007-00,06 16 00-007-00 SHEATHING - Evaluation Reports,Mortenson Construction,,5/3/2021,,5/17/2021,,5/11/2021,Approved,Approved,10/11/2021,5/11/2021,31656,R,-11
,06 20 23-001-00,06 20 23-001-00 Millwork Hardware Package 1- Base Building,Mortenson Construction,,7/28/2020,,8/11/2020,,8/6/2020,Approved as Noted,Approved as Noted,10/11/2021,8/6/2020,31457,R,-11
,06 20 23-002-00,06 20 23-002-00 Custom Bench Shop Drawings - Base Building,Mortenson Construction,,6/5/2020,,6/19/2020,,6/23/2020,Approved as Noted,Approved as Noted,10/11/2021,6/23/2020,31420,R,-11
,06 20 23-003-00,06 20 23-003-00 Substrate & Hardwood Product Data - Base Building,Mortenson Construction,,7/6/2020,,7/20/2020,,7/7/2020,Approved as Noted/Resubmit,Approved as Noted/Resubmit,10/11/2021,7/7/2020,31441,R,-11
,06 20 23-004-00,06 20 23-004-00 Millwork Hardware Product Data- Package 2,Mortenson Construction,,8/25/2020,,9/9/2020,,9/9/2020,Approved as Noted,Approved as Noted,10/11/2021,9/9/2020,31477,R,-12
,06 20 23-005-00,06 20 23-005-00 Concession & Bar Shop Drawings 1 - Base Building,Mortenson Construction,,7/30/2020,,8/13/2020,,8/17/2020,Approved as Noted,Approved as Noted,10/11/2021,8/17/2020,31459,R,-11
,06 20 23-006-00,06 20 23-006-00 Concession & Bar Shop Drawings 2 - Base Building,Mortenson Construction,,7/29/2020,,8/12/2020,,8/16/2020,Revise and Resubmit,Revise and Resubmit,10/11/2021,8/16/2020,31458,R,-11
,06 20 23-006-01,06 20 23-006-01 Concession & Bar Shop Drawings 2 - Base Building,Mortenson Construction,,9/15/2020,,9/29/2020,,9/29/2020,Approved as Noted,Approved as Noted,10/11/2021,9/29/2020,31492,R,-11
,06 20 23-008-00,06 20 23-008-00 Concession & Bar Shop Drawings 3 - Base Building,Mortenson Construction,,8/13/2020,,8/27/2020,,8/27/2020,Approved as Noted/Resubmit,Approved as Noted/Resubmit,10/11/2021,8/27/2020,31469,R,-11
,06 20 23-008-01,06 20 23-008-01 Concession & Bar Shop Drawings 3 - Base Building,Mortenson Construction,,1/19/2021,,2/2/2021,,2/4/2021,Approved as Noted,Approved as Noted,10/11/2021,2/4/2021,31582,R,-11
,06 20 23-009-00,06 20 23-009-00 Concession & Bar Shop Drawings 4 - Base Building,Mortenson Construction,,8/26/2020,,9/10/2020,,9/9/2020,Revise and Resubmit,Revise and Resubmit,10/11/2021,9/9/2020,31478,R,-12
,06 20 23-009-01,06 20 23-009-01 Concession & Bar Shop Drawings 4 - Base Building,Mortenson Construction,,10/14/2020,,10/28/2020,,10/28/2020,Approved as Noted/Resubmit,Approved as Noted/Resubmit,10/11/2021,10/28/2020,31513,R,-11
,06 20 23-010-00,06 20 23-010-00 Tunnel Club B1 Casework Shop Drawings,Mortenson Construction,,8/26/2020,,9/10/2020,,9/10/2020,Revise and Resubmit,Revise and Resubmit,10/11/2021,9/10/2020,31478,R,-12
,06 20 23-010-01,06 20 23-010-01 Tunnel Club B1 Casework Shop Drawings,Mortenson Construction,,9/17/2020,,10/1/2020,,9/24/2020,Approved as Noted,Approved as Noted,10/11/2021,9/24/2020,31494,R,-11
,06 20 23-015-00,06 20 23-015-00 Stick Racks - Locker Rooms,Mortenson Construction,,10/5/2020,,10/19/2020,,10/13/2020,Revise and Resubmit,Revise and Resubmit,10/11/2021,10/13/2020,31506,R,-11
,06 20 23-015-01,06 20 23-015-01 Stick Racks - Locker Rooms,Mortenson Construction,,2/15/2021,,3/1/2021,,2/22/2021,Revise and Resubmit,Revise and Resubmit,10/11/2021,2/22/2021,31601,R,-11
,06 20 23-015-02,06 20 23-015-02 Stick Racks - Locker Rooms,Mortenson Construction,,3/12/2021,,3/26/2021,,3/29/2021,Approved as Noted,Approved as Noted,10/11/2021,3/29/2021,31620,R,-11
,06 20 23-016-00,06 20 23-016-00 Millwork Hardware Samples Package 1 - Base Building,Mortenson Construction,,8/26/2020,,9/10/2020,,9/14/2020,Approved as Noted,Approved as Noted,10/11/2021,9/14/2020,31478,R,-12
,06 20 23-017-00,06 20 23-017-00 NHL Locker Benches,Mortenson Construction,,10/2/2020,,10/16/2020,,10/8/2020,Approved as Noted/Resubmit,Approved as Noted/Resubmit,10/11/2021,10/8/2020,31505,R,-11
,06 20 23-018-00,06 20 23-018-00 Main Concourse Club For Record,Mortenson Construction,,12/8/2020,,12/22/2020,,12/22/2020,No Action Taken or Required,No Action Taken or Required,10/11/2021,12/22/2020,31552,R,-11
,06 20 23-019-00,06 20 23-019-00 Oyster Bar - CCD84,Mortenson Construction,,1/4/2021,,1/19/2021,,1/21/2021,Approved as Noted,Approved as Noted,10/11/2021,1/21/2021,31571,R,-12
,06 20 23-020-00,06 20 23-020-00 West Concourse Club Pkg. 1,Mortenson Construction,,10/26/2020,,11/9/2020,,11/11/2020,Approved as Noted/Resubmit,Approved as Noted/Resubmit,10/11/2021,11/11/2020,31521,R,-11
,06 20 23-022-00,06 20 23-022-00 Metropolitan Club pkg. 1,Mortenson Construction,,10/2/2020,,10/16/2020,,10/18/2020,Revise and Resubmit,Revise and Resubmit,10/11/2021,10/18/2020,31505,R,-11
,06 20 23-023-00,06 20 23-023-00 Metropolitan Club pkg. 2,Mortenson Construction,,1/4/2021,,1/19/2021,,1/27/2021,Approved as Noted,Approved as Noted,10/11/2021,1/27/2021,31571,R,-12
,06 20 23-024-00,06 20 23-024-00 Space Needle Club Pkg. 1,Mortenson Construction,,9/30/2020,,10/23/2020,,10/26/2020,Approved as Noted/Resubmit,Approved as Noted/Resubmit,10/11/2021,10/26/2020,31503,R,-18
,06 20 23-025-00,06 20 23-025-00 Space Needle Club Pkg. 2,Mortenson Construction,,11/12/2020,,11/30/2020,,11/30/2020,Approved as Noted,Approved as Noted,10/11/2021,11/30/2020,31534,R,-13
,06 20 23-026-00,06 20 23-026-00 Mount Baker Paneling & Die-Wall Cladding,Mortenson Construction,,1/4/2021,,1/18/2021,,1/12/2021,Approved as Noted,Approved as Noted,10/11/2021,1/12/2021,31571,R,-11
,06 20 23-027-00,06 20 23-027-00 Suite Level Restrooms and Base,Mortenson Construction,,10/26/2020,,11/9/2020,,11/20/2020,Approved as Noted,Approved as Noted,10/11/2021,11/20/2020,31521,R,-11
,06 20 23-029-00,06 20 23-029-00 Mount Baker Club - Pizza,Mortenson Construction,,10/29/2020,,11/12/2020,,11/20/2020,Approved as Noted,Approved as Noted,10/11/2021,11/20/2020,31524,R,-11
,06 20 23-030-00,06 20 23-030-00 Mount Baker - Mean Sandwich,Mortenson Construction,,10/28/2020,,11/11/2020,,11/20/2020,Approved as Noted,Approved as Noted,10/11/2021,11/20/2020,31523,R,-11
,06 20 23-031-00 ,06 20 23-031-00 Mount Baker Club - Whiskey Bar,Mortenson Construction,,10/29/2020,,11/12/2020,,11/20/2020,Approved as Noted,Approved as Noted,10/11/2021,11/20/2020,31524,R,-11
,06 20 23-032-00,06 20 23-032-00 Chairman’s Club Peninsula Frame Engineering,Mortenson Construction,,1/11/2021,,1/26/2021,,1/27/2021,Approved,Approved,10/11/2021,1/27/2021,31576,R,-12
,06 20 23-033-00,06 20 23-033-00 Metro Club Buffet,Mortenson Construction,,3/10/2021,,3/24/2021,,3/17/2021,Approved as Noted,Approved as Noted,10/11/2021,3/17/2021,31618,R,-11
,06 20 23-034-00,06 20 23-034-00 Mount Baker Club - Wine Bar,Mortenson Construction,,10/29/2020,,11/12/2020,,11/20/2020,Approved as Noted,Approved as Noted,10/11/2021,11/20/2020,31524,R,-11
,06 20 23-035-00,06 20 23-035-00 Chairman's Club Pkg. 1,Mortenson Construction,,10/26/2020,,11/9/2020,,11/9/2020,Revise and Resubmit,Revise and Resubmit,10/11/2021,11/9/2020,31521,R,-11
,06 20 23-037-00,06 20 23-037-00 Premium Millwork Product Data Pkg 1,Mortenson Construction,,9/29/2020,,10/13/2020,,10/13/2020,Approved as Noted,Approved as Noted,10/11/2021,10/13/2020,31502,R,-11
,06 20 23-038-00,06 20 23-038-00 Upper Con Bar Balance,Mortenson Construction,,10/22/2020,,11/5/2020,,11/5/2020,Approved as Noted,Approved as Noted,10/11/2021,11/5/2020,31519,R,-11
,06 20 23-039-00,06 20 23-039-00 Chairman's Club Custom Millwork,Mortenson Construction,,12/16/2020,,1/8/2021,,1/8/2021,Approved as Noted,Approved as Noted,10/11/2021,1/8/2021,31558,R,-18
,06 20 23-040-00,06 20 23-040-00 Green Wall Sample,Mortenson Construction,,10/29/2020,,11/12/2020,,11/20/2020,Approved as Noted,Approved as Noted,10/11/2021,11/20/2020,31524,R,-11
,06 20 23-041-00,06 20 23-041-00 F12 Sample,Mortenson Construction,,11/2/2020,,11/16/2020,,11/20/2020,Approved,Approved,10/11/2021,11/20/2020,31526,R,-11
,06 20 23-042-00,06 20 23-042-00 Flame Spread Product Data,Mortenson Construction,,12/8/2020,,12/22/2020,,12/30/2020,Approved,Approved,10/11/2021,12/30/2020,31552,R,-11
,06 20 23-043-00,06 20 23-043-00 WD6 Match on Maple,Mortenson Construction,,11/18/2020,,12/4/2020,,12/4/2020,Approved,Approved,10/11/2021,12/4/2020,31538,R,-13
,06 20 23-044-00,"06 20 23-044-00 Tunnel Club Type A, B, A1, B1 and E Millwork",Mortenson Construction,,12/16/2020,,1/8/2021,,1/8/2021,Approved as Noted,Approved as Noted,10/11/2021,1/8/2021,31558,R,-18
,06 20 23-045-00,06 20 23-045-00 Tunnel Club Type C,Mortenson Construction,,1/4/2021,,1/19/2021,,1/24/2021,Approved as Noted,Approved as Noted,10/11/2021,1/24/2021,31571,R,-12
,06 20 23-047-00,06 20 23-047-00 Millwork Product Data pkg 2,Mortenson Construction,,1/12/2021,,1/27/2021,,1/29/2021,Approved as Noted/Resubmit,Approved as Noted/Resubmit,10/11/2021,1/29/2021,31577,R,-12
,06 20 23-048-00,06 20 23-048-00 Guest Service Kiosk / Portable Millwork,Mortenson Construction,,1/26/2021,,2/9/2021,,2/11/2021,Approved as Noted,Approved as Noted,10/11/2021,2/11/2021,31587,R,-11
,06 20 23-049-00,06 20 23-049-00 WNBA Misc. Areas,Mortenson Construction,,2/15/2021,,3/1/2021,,3/1/2021,Approved as Noted,Approved as Noted,10/11/2021,3/1/2021,31601,R,-11
,06 20 23-050-00,06 20 23-050-00 Break Room Casework,Mortenson Construction,,1/26/2021,,2/9/2021,,2/12/2021,Approved as Noted,Approved as Noted,10/11/2021,2/12/2021,31587,R,-11
,06 20 23-051-00,06 20 23-051-00 03.06.12 Column Cover,Mortenson Construction,,1/28/2021,,2/11/2021,,2/15/2021,Approved as Noted,Approved as Noted,10/11/2021,2/15/2021,31589,R,-11
,06 20 23-052-00,06 20 23-052-00 03.10.02 Bar,Mortenson Construction,,1/28/2021,,2/11/2021,,2/15/2021,Approved as Noted,Approved as Noted,10/11/2021,2/15/2021,31589,R,-11
,06 20 23-053-00,06 20 23-053-00 Cove Base Product Data - Premium,Mortenson Construction,,2/1/2021,,2/15/2021,,2/15/2021,Approved as Noted,Approved as Noted,10/11/2021,2/15/2021,31591,R,-11
,06 20 23-055-00,06 20 23-055-00 Mount Baker Pizza Bar Built-In Shelving,Mortenson Construction,,2/8/2021,,2/22/2021,,2/23/2021,Approved as Noted,Approved as Noted,10/11/2021,2/23/2021,31596,R,-11
,06 20 23-056-00,06 20 23-056-00 Suite Level Elevator Lobby Base,Mortenson Construction,,2/11/2021,,2/25/2021,,2/25/2021,Approved as Noted,Approved as Noted,10/11/2021,2/25/2021,31599,R,-11
,06 20 23-057-00,06 20 23-057-00 01.14.10 Security Room Casework,Mortenson Construction,,2/2/2021,,2/16/2021,,2/23/2021,Approved as Noted,Approved as Noted,10/11/2021,2/23/2021,31592,R,-11
,06 20 23-058-00,06 20 23-058-00: Milk White Acrylic,Mortenson Construction,,2/18/2021,,3/4/2021,,3/5/2021,Approved,Approved,10/11/2021,3/5/2021,31604,R,-11
,06 20 23-059-00,06 20 23-059-00 Street Locker Island,Mortenson Construction,,2/25/2021,,3/11/2021,,3/10/2021,Approved as Noted,Approved as Noted,10/11/2021,3/10/2021,31609,R,-11
,06 20 23-060-00,06 20 23-060-00 Liquor Risers,Mortenson Construction,,3/16/2021,,3/30/2021,,4/8/2021,Revise and Resubmit,Revise and Resubmit,10/11/2021,4/8/2021,31622,R,-11
,06 20 23-060-01,06 20 23-060-01 Liquor Risers for Record,Mortenson Construction,,4/22/2021,,5/6/2021,,5/10/2021,No Action Taken or Required,No Action Taken or Required,10/11/2021,5/10/2021,31649,R,-11
,06 20 23-061-00,06 20 23-061-00 WD-13 Revised Samples,Mortenson Construction,,4/5/2021,,4/19/2021,,4/7/2021,Approved as Noted,Approved as Noted,10/11/2021,4/7/2021,31636,R,-11
,06 20 23-062-00,06 20 23-062-00 CCD087 - Admin Area,Mortenson Construction,,4/1/2021,,4/15/2021,,4/14/2021,Approved as Noted/Resubmit,Approved as Noted/Resubmit,10/11/2021,4/14/2021,31634,R,-11
,06 20 23-063-00,06 20 23-063-00 CCD088 Amazon Music Studio,Mortenson Construction,,4/22/2021,,5/6/2021,,5/10/2021,Approved as Noted,Approved as Noted,10/11/2021,5/10/2021,31649,R,-11
,06 20 23-064-00,06 20 23-064-00 CCD094 Ticket Office Revisions,Mortenson Construction,,5/11/2021,,5/25/2021,,5/19/2021,Approved as Noted,Approved as Noted,10/11/2021,5/19/2021,31662,R,-11
,06 20 23-065-00,06 20 23-065-00 CCD086 Lockers,Mortenson Construction,,4/22/2021,,5/6/2021,,4/29/2021,Approved as Noted,Approved as Noted,10/11/2021,4/29/2021,31649,R,-11
,06 20 23-066-00,06 20 23-066-00 CCD091 Misc. Revisions,Mortenson Construction,,4/26/2021,,5/10/2021,,5/14/2021,Approved as Noted,Approved as Noted,10/11/2021,5/14/2021,31651,R,-11
,06 20 23-067-00,06 20 23-067-00 Mount Baker Drink Rails - SSM31,Mortenson Construction,,4/12/2021,,4/26/2021,,4/27/2021,Approved as Noted,Approved as Noted,10/11/2021,4/27/2021,31641,R,-11
,06 20 23-068-00,06 20 23-068-00 Kraken Bar Area,Mortenson Construction,,4/13/2021,,4/27/2021,,4/28/2021,Rejected,Rejected,10/11/2021,4/28/2021,31642,R,-11
,06 20 23-068-01,06 20 23-068-01 Kraken Bar Area CCD 108 Review,Mortenson Construction,,6/21/2021,,7/5/2021,,6/21/2021,Approved as Noted,Approved as Noted,10/11/2021,6/21/2021,31691,R,-11
,06 20 23-069-00,06 20 23-069-00 Metro Club Shelving,Mortenson Construction,,4/22/2021,,5/6/2021,,5/10/2021,Approved as Noted,Approved as Noted,10/11/2021,5/10/2021,31649,R,-11
,06 20 23-070-00,06 20 23-070-00 Whiskey Bar Front Shelving,Mortenson Construction,,4/22/2021,,5/6/2021,,5/5/2021,Approved as Noted,Approved as Noted,10/11/2021,5/5/2021,31649,R,-11
,06 20 23-071-00,06 20 23-071-00 Whiskey Bar Back Shelving,Mortenson Construction,,6/2/2021,,6/16/2021,,6/9/2021,Approved as Noted,Approved as Noted,10/11/2021,6/9/2021,31678,R,-11
,06 20 23-072-00,06 20 23-072-00 Metro Buffet Countertops,Mortenson Construction,,5/18/2021,,6/2/2021,,6/4/2021,Approved as Noted,Approved as Noted,10/11/2021,6/4/2021,31667,R,-12
,06 20 23-073-00,06 20 23-073-00 Vesuvious Stone / Maharam Leather Samples,Mortenson Construction,,4/22/2021,,5/6/2021,,5/3/2021,For Information Only,For Information Only,10/11/2021,5/3/2021,31649,R,-11
,06 20 23-074-00,06 20 23-074-00 WNBA Home Lockers Mock-Up,Mortenson Construction,,4/20/2021,,5/4/2021,,4/26/2021,Approved as Noted,Approved as Noted,10/11/2021,4/26/2021,31647,R,-11
,06 20 23-075-00,06 20 23-075-00 Chairmans club shelving,Mortenson Construction,,6/2/2021,,6/16/2021,,6/21/2021,Approved as Noted,Approved as Noted,10/11/2021,6/21/2021,31678,R,-11
,06 20 23-076-00,06 20 23-076-00 Fire Retardant Product Data,Mortenson Construction,,5/11/2021,,5/25/2021,,5/18/2021,Approved,Approved,10/11/2021,5/18/2021,31662,R,-11
,06 20 23-077-00,06 20 23-077-00 Tunnel Club Revisions - CCD099,Mortenson Construction,,5/11/2021,,5/25/2021,,5/26/2021,Approved as Noted,Approved as Noted,10/11/2021,5/26/2021,31662,R,-11
,06 20 23-078-00,06 20 23-078-00 Owner's Suite Sink Support / Enclosure,Mortenson Construction,,6/1/2021,,6/15/2021,,6/9/2021,Approved as Noted,Approved as Noted,10/11/2021,6/9/2021,31677,R,-11
,06 20 23-079-00,06 20 23-079-00 CCD 101 Coors Bars,Mortenson Construction,,6/1/2021,,6/15/2021,,6/16/2021,Approved as Noted,Approved as Noted,10/11/2021,6/16/2021,31677,R,-11
,06 20 23-080-00,06 20 23-080-00 06.25.01 Home GM Casework,Mortenson Construction,,6/3/2021,,6/17/2021,,6/7/2021,Approved as Noted,Approved as Noted,10/11/2021,6/7/2021,31679,R,-11
,06 20 23-081-00,06 20 23-081-00 Misc. Premium Space Millwork Samples,Mortenson Construction,,6/28/2021,,7/13/2021,,7/13/2021,Approved as Noted,Approved as Noted,10/11/2021,7/13/2021,31696,R,-12
,06 20 23-082-00,06 20 23-082-00 Kraken Back Bar Display,Mortenson Construction,,7/8/2021,,7/22/2021,,7/13/2021,Approved as Noted,Approved as Noted,10/11/2021,7/13/2021,31704,R,-11
,06 20 23-083-00,06 20 23-083-00 Millwork LEED Data,Mortenson Construction,,8/30/2021,,9/13/2021,,8/31/2021,Revise and Resubmit,Revise and Resubmit,10/11/2021,8/31/2021,31741,R,-11
,06 41 13-001-00,06 41 13-001-00 Artist Lounge & Star Dressing Shop Drawings - Base Building,Mortenson Construction,,7/6/2020,,7/20/2020,,7/13/2020,Approved as Noted,Approved as Noted,10/11/2021,7/13/2020,31441,R,-11
,06 41 13-005-00,06 41 13-005-00 WOOD-VENEER-FACED ARCHITECTURAL CABINETS - Samples,Mortenson Construction,,9/17/2020,,10/1/2020,,9/29/2020,Approved as Noted/Resubmit,Approved as Noted/Resubmit,10/11/2021,9/29/2020,31494,R,-11
,06 41 13-005-01,06 41 13-005-01 WD6 and WD4 Resubmit,Mortenson Construction,10/13/2020,2/18/2021,92 ,3/4/2021,,3/5/2021,Approved,Approved,10/11/2021,3/5/2021,93,R,-11
,06 41 13-011-00,06 41 13-011-00 Player Lounge / Kitchen Casework,Mortenson Construction,,9/15/2020,,9/29/2020,,9/28/2020,Revise and Resubmit,Revise and Resubmit,10/11/2021,9/28/2020,31492,R,-11
,06 41 13-011-01,06 41 13-011-01 Player Lounge Kitchen Casework / War Room,Mortenson Construction,,10/22/2020,,11/5/2020,,10/26/2020,Approved as Noted,Approved as Noted,10/11/2021,10/26/2020,31519,R,-11
,06 41 13-012-00,06 41 13-012-00 Sideline Suite Millwork Balance / Mock-up Resubmittal,Mortenson Construction,,10/14/2020,,10/28/2020,,10/29/2020,Approved as Noted,Approved as Noted,10/11/2021,10/29/2020,31513,R,-11
,06 41 13-013-00,06 41 13-013-00 Sideline Suite Millwork,Mortenson Construction,,9/8/2020,,9/22/2020,,10/5/2020,Approved as Noted,Approved as Noted,10/11/2021,10/5/2020,31487,R,-11
,06 41 13-014-00,06 41 13-014-00 Player Lounge Wall Cubby,Mortenson Construction,,10/5/2020,,10/19/2020,,10/13/2020,Revise and Resubmit,Revise and Resubmit,10/11/2021,10/13/2020,31506,R,-11
,06 41 13-014-01,06 41 13-014-01 Player Lounge Wall Cubby,Mortenson Construction,,11/10/2020,,11/24/2020,,11/13/2020,Approved as Noted,Approved as Noted,10/11/2021,11/13/2020,31532,R,-11
,06 41 13-015-00,06 41 13-015-00 NHL Locker Room Misc. Lockers,Mortenson Construction,,2/9/2021,,2/23/2021,,3/2/2021,Revise and Resubmit,Revise and Resubmit,10/11/2021,3/2/2021,31597,R,-11
,06 41 13-015-01,06 41 13-015-01 NHL Locker Room Misc. Lockers,Mortenson Construction,,4/5/2021,,4/19/2021,,4/7/2021,Approved as Noted,Approved as Noted,10/11/2021,4/7/2021,31636,R,-11
,06 41 13-016-00,06 41 13-016-00 WD16 Sample,Mortenson Construction,,9/30/2020,,10/14/2020,,10/15/2020,Approved,Approved,10/11/2021,10/15/2020,31503,R,-11
,06 41 13-016-01,06 41 13-016-01 WD16 Sample - Satin Finish,Mortenson Construction,,12/7/2020,,12/21/2020,,12/17/2020,Approved,Approved,10/11/2021,12/17/2020,31551,R,-11
,06 41 13-017-00,06 41 13-017-00 Premium WD Samples Pkg. 2,Mortenson Construction,,10/7/2020,,10/21/2020,,10/20/2020,Approved as Noted/Resubmit,Approved as Noted/Resubmit,10/11/2021,10/20/2020,31508,R,-11
,06 41 13-017-01,06 41 13-017-01 WD12 Sample Resubmit,Mortenson Construction,,11/12/2020,,11/30/2020,,11/23/2020,Approved,Approved,10/11/2021,11/23/2020,31534,R,-13
,06 41 13-018-00,06 41 13-018-00 Locker Room Mock-Up,Mortenson Construction,,10/15/2020,,10/29/2020,,10/26/2020,No Action Taken or Required,No Action Taken or Required,10/11/2021,10/26/2020,31514,R,-11
,06 41 13-018-01,06 41 13-018-01 NHL Locker TV Cabinet,Mortenson Construction,,1/27/2021,,2/10/2021,,2/3/2021,Approved as Noted,Approved as Noted,10/11/2021,2/3/2021,31588,R,-11
,06 41 13-019-00,06 41 13-019-00 WD11 Sample,Mortenson Construction,,10/27/2020,,11/10/2020,,11/10/2020,Revise and Resubmit,Revise and Resubmit,10/11/2021,11/10/2020,31522,R,-11
,06 41 13-019-01,06 41 13-019-01 WD11 Sample,Mortenson Construction,,11/20/2020,,12/8/2020,,11/24/2020,Approved,Approved,10/11/2021,11/24/2020,31540,R,-13
,06 41 13-020-00,06 41 13-020-00 WD10/WD13 Samples,Mortenson Construction,,11/4/2020,,11/18/2020,,11/23/2020,Approved as Noted,Approved as Noted,10/11/2021,11/23/2020,31528,R,-11
,06 41 13-021-00,06 41 13-021-00 WNBA Home Lockers,Mortenson Construction,,2/15/2021,,3/1/2021,,2/25/2021,Approved as Noted,Approved as Noted,10/11/2021,2/25/2021,31601,R,-11
,06 41 13-022-00,06 41 13-022-00 NHL Home Team Locker,Mortenson Construction,,4/5/2021,,4/19/2021,,4/6/2021,Approved as Noted,Approved as Noted,10/11/2021,4/6/2021,31636,R,-11
,06 41 13-023-00,06 41 13-023-00 Sideline Suite - Owner / Corner,Mortenson Construction,,2/8/2021,,2/22/2021,,2/23/2021,Approved as Noted,Approved as Noted,10/11/2021,2/23/2021,31596,R,-11
,06 41 13-024-00,06 41 13-024-00 WD7 Premium Walnut Submittal,Mortenson Construction,,1/25/2021,,2/8/2021,,2/10/2021,Approved as Noted,Approved as Noted,10/11/2021,2/10/2021,31586,R,-11
